,Date,Notes,Commentaires
0,oct. 2024,"5,0","Endroit tranquille pour une soirée en Famille, restaurant très propre, la bouffe très bonne je mets un 5 étoiles pour mon meilleur restaurant 🤩"
1,oct. 2024,"4,0","Personnes très agréables. Gérant très commerçant, à l’écoute. 
Problème survenu lors des plats (attentes très longue) mais compensation avec les desserts offerts et encore une fois manager très gentil."
2,avr. 2024,"3,0","Joli restaurant,  mais trop cher pour ce que c'est,  a part le mezze et le kunafé, les assiettes n ont rien à envier au assiettes kebab du coin qui sont peut-être même meilleurs"
3,mars 2024,"1,0","Le restaurant vraiment pas mal le personnel aussi mis a part la chef de service vraiment pas commercial et prend mal les commandes, dommage tres inconpétente .je n y retournerai pas et je ne le recommande pas de plus c est cher pour ce que c est."
4,févr. 2024,"5,0",Super rien a dire. Le service la viande extra. Belle salle. Lumière tamisée. Personnel sympathique. J’y retournerai sans hésitation.
5,oct. 2023,"5,0","J'ai testé ce restaurant en famille hier soir. 
J'ai été agréablement surprise tant par le cadre que par la qualité des produits. 
La grillade mixte 1 personne est à 25 €
L'assiette une viande côtelettes est à 20 €
Le menu enfant est à 10 €
Le service est impeccable, très rapide !
Petit bémol : la kuneffe très grasse ..impossible de la terminer car devient écœurant au bout d'un moment.. sinon tout le reste est très bon.
Je recommande vivement !"
6,avr. 2023,"5,0","Agréable soirée dans une ambiance feutrée avec en fond de teinte une musique authentiquement mélancolique et légendaire..
Les mets étaient copieux et les viandes goûteuses, accueil chaleureux et aux petits soins. Je recommande aux amateurs de grillades !"
7,mai 2023,"4,0","Nous sommes venus en couple. Le service etait impeccable. Hyper accueillant, extremement gentil, poli. Un vrai plaisir."
8,déc. 2022,"4,0","Tres jolie déco, personnel accueillant, viande excellente, service rapide. Rien a dire si ce n’est que c’est un peu cher sur les viandes rouges. Et les enfants sont acceptés contrairement a ce que j’ai pu lire."
9,juin 2022,"4,0","Le responsable nous a gentiment expliqué que nos 3 enfants seraient les bienvenus pour cette soirée, et que ça sera leur dernière. 
Déçus de ce genre de discours. 

Pour le restaurant tout est bon. Ça nous a toujours semblé propre (rendus 5 fois dans le resto) Prix un peu élevés.

On recommande quand même"
10,juin 2022,"5,0","Ambiance orientale chic , super accueil et service irréprochables et remarquables  . Les  plats sont délicieux,  relevés et copieux  pour des tarifs raisonnables.  Restaurant halal donc sans alcool,  à découvrir  pour goûter à la cuisine turque ."
11,juil. 2021,"3,0","En couple, prit deux plats 
Adana un peu gras et cotelettes trop cuites.
Beau cadre, service agréable, prix raisonnable.

A refaire à l’occasion"
