,Date,Notes,Commentaires
0,déc. 2024,"5,0","De passage à Lyon, c'est une connaissance qui nous a recommandé Mon Plaisir Côté Cour et elle ne nous a pas menti. Hier soir, nous avons dîné dans une ambiance vraiment agréable, originale et joyeuse. La cuisine était excellente : la cuisson de la daurade et du bœuf étaient justes parfaites et les saveurs... sans oublier le soufflé glacé, nos papilles se sont régalées. Le service impeccable alliait sympathie, cordialité et bons conseils. Les prix sont très raisonnables. N'hésitez pas. Nous reviendrons."
1,oct. 2024,"1,0","Parait-il qu'il y aurait parfois des commentaires élogieux ""achetés"" ?... Soit je suis un mauvais critique, soit parmi les 572 avis élogieux formulés sur cet établissement, il y aurait un certain nombre de tricheurs... Je m'abstiendrai de dire ce que je pense de ce restaurant, mais je me permettrais simplement d'avertir Tripadvisor que sa réputation peut rapidement se dégrader quant à la véracité des avis qu'il publie. Je reconnais que la solution est compliquée pour faire le tri. Cocher un certificat en fin d'avis ne résoudra pas le problème, mais il en va de sa réputation. Procéder comme le fait Michelin avec ses inspecteurs serait bien évidement la solution.                                         
Malheureusement de plus en plus autour de moi j'entends des critiques quant à la fiabilité de Tripadvisor. Et moi je commence à avoir des doutes...Attention donc!"
2,oct. 2024,"5,0","Nous avons trouvé ce restaurant par hasard mais ce fût une très belle surprise. Un choix varié dans la carte, une ambiance très sympa et une très bonne cuisine.
Le lieu est très agréable !"
3,sept. 2024,"5,0",Belle carte originale . Beaux choix de plats végétariens . Service sympathique. Tout était  très bon  et servi rapidement
4,sept. 2024,"2,0","Très grande déception. Mis à part le cadre, tout le reste fut bien médiocre. On a pas le temps de dire ouf (et de profiter de l'apéritif) que les assiettes sont sur la table. Mais ça , c'est un détail . Concernant le repas , tout se gâte .  Plat sans saveur, purée de légumes aqueuse et bœuf insipide, dignes d'une mauvaise cantine ou d'un hôpital. Dessert idem, un verre de chantilly et un fond de "" Baileys"" la boule de glace , il fallait la chercher , je ne l'ai pas trouvée . La serveuse nous a demandé si tout s'était bien passé , je lui ai donné mon opinion, et elle a eu le culot de me répondre que j'avais tout mangé - pardon , j'avais faim! - On nous a offert un verre de prosecco pour rattraper le coup/coût. Le rhum arrangé de fin de repas , avait vraisemblablement été arrangé à l'eau...La musique est très présente, trop. Les cafés et le rhum ont été offerts (et le prosecco qu'on avait pas demandé) mais cela ne rattrape en rien la médiocrité de ce restaurant . Je suis très étonnée de lire des avis positifs . En résumé, je n'y mettrai plus un pied ni 1 centime d'euro."
5,août 2024,"4,0","On n'est pas loin de l'excellent : le cadre est top, les plats sont bons et copieux. Seul bémol, la vitesse du service. À peine nos apéritifs servis, les plats arrivaient déjà. Manger avec un whisky à la main, ce n'est pas l'idéal, et cela empêche de prendre un verre de vin."
6,août 2024,"5,0",Une carte variée qui donne très envie. Le saumon était excellent et le serveur très agréable et sympathique (merci Nathanaël !) :)
7,août 2024,"5,0","L accueil très convivial 
Très propre et très bon repas
Personnel très sympathique
Lors d une prochaine visite à Lyon ns y retournerons"
8,août 2024,"5,0",Un très bon accueil par Antoine un très bon service par l équipe un déjeuner très appréciable avec le tatare de merlu vraiment EXCELLENT et frais
9,juil. 2024,"5,0",Un grand merci a Louise pour le service et nath pour l'accueil super restaurant a des prix non excessif je serai de retour avec grand plaisir rien a redire
10,août 2023,"5,0","Moment entre amis nous étions en terrasse, c’était bucolique et parfait pour des retrouvailles. Les cocktails étaient délicieux. Et les plats ont ravis nos papilles."
11,juil. 2024,"2,0","Le décalage entre les critiques, plutôt favorables, le classement sur Tripadvisor, très flatteur, et mon déjeuner me laisse pantois car si le cadre est original, la salle reste très bruyante et c'est là le moindre de ses défauts.

Service long, pénible sans être désagréable toutefois mais trop d'enthousiasme pour nous recommander des plats dépourvus d'intérêt et nous féliciter de nos choix en fin de repas. Nous y gagnerons une poignée de mains. Est-ce sérieux ?

A cette virile effluve nous aurions préféré ne pas attendre autant, que ce soit nos plats ou nos glaçons pour le rosé et surtout une cuisine plus légère : des burgers noyés sous une sauce chorizo qui masque toutes les autres saveurs, un profiterole au Nutella qui ne récupérera pas le plat principal.

Une addition finalement très salée près de 70 € à deux qui nous fera regretter de ne pas avoir choisi la valeur sûre en face."
12,juin 2024,"5,0","Endroit parfait pour un lunch ou dîner en famille, entre amis ou entre collègues.
On est toujours très bien accueilli par l'équipe qui est aux petits soins avec tout le monde et la nourriture est excellente et toujours servie rapidement.
Le menu du midi avec un choix de plat du jour pour 9.9€ est vraiment un super rapport qualité/prix.
Il y a une salle de jeux pour les petits loups qui est top pour les occuper. (Seul inconvénient, elle est proche de la sortie et il y fait un peu frais en hiver.)
Allez-y les yeux fermés, vous ne serez pas déçus."
13,juin 2024,"5,0","Toujours aussi bon et accueillant .Une équipe au top qui nous fait passer un bon moment. Petite pensée pour Nath et son humour 😉
Fred"
14,mai 2024,"5,0","Très belle découverte que ce petit restaurant à la déco  italo/bohème.
Arrivés sans réservation,  nous avons été accueillis à bras ouverts et grand sourire par un jeune serveur qui s'est empressé de nous trouver une petite table disponible.
Petit restaurant bucolique niché dans un renfoncement de rue, tenu par une équipe de jeunes dynamiques,  souriants, enthousiastes, et soucieux de vous faire passer un bon moment. (D'ailleurs pleins de petits mots affectueux à l'attention de leur clientèle sur diverses ardoises sont touchants d'amour et de bienveillance) 
Ça fait vraiment du bien de voir que dans un monde de restauration où les serveurs font souvent la tête et se font prier pour répondre à vos appels ; qu'il existe encore ce genre de pépite gérée par des jeunes motivés et pleins de joies.
Pour ne rien gâcher la nourriture y est très bonne et copieuse. On ne se moque pas de vous !
Cerise sur le gâteau,  notre serveur nous a gentiment offert sans qu'on s'y attende un punch en digestif. (Peut-être pour se faire pardonner d'un petit loupé dans la commande,  sans gravité à mon sens)
Service rapide. Si je peux juste me permettre un petit conseil : pour l'excellent soufflé glacé au grand Marnier ; prévoir de le sortir quelques minutes avant le service car j'ai eu beaucoup de mal à le couper avec ma cuillère tellement il était congelé ! 😆

Franchement si vous passez dans le coin et aimez la simplicité et la jovialité ; arrêtez-vous ; vous ne serez pas déçus !
Et si le personnel de ce restaurant lit cet avis ; je le répète : ""Ne changez surtout rien à votre bonne humeur ; valeur rare de nos jours dans ce corps de métier""

En tout cas, une adresse que je conserverai dans mon carnet car je compte y revenir sûr. Seul bémol l'absence de parking. Circulation et stationnement difficile dans le quartier,  sauf si vous prenez l'option du métro à 10-15  minutes à pieds du restaurant"
15,mai 2024,"4,0","Repas dominicale à l'occasion d'un anniversaire.
Cadre bohème avec cour intérieure. service rapide et efficace. 
Carte assez restreinte, avec une cuisine simple, mais originale.
Bon rapport qualité prix. 
Une adresse conforme aux différents avis. 
"
16,mai 2024,"5,0","Resto avec une très bonne ambiance, sympathique,  super service, de bons petits plats ( merci à Antoine pour son professionnalisme ). Je recommande vivement"
17,mai 2024,"5,0","Restaurant familial et convivial,
Les serveurs sont très avenants, ils nous ont d’ailleurs offert les entrées.
La carte est abordable et tout est fait maison, de plus les plats sont très copieux. 
Je recommande grandement cette adresse avec une mention spéciale pour la terrasse insolite, au cœur du 8ème !"
18,mai 2024,"4,0","Repas dominical très sympathique. Serveur au top et cuisine soignée. L'ambiance est chaleureuse et le décor vraiment sympathique.
Une bonne adresse dans le quartier "
19,mars 2024,"5,0","Tout le personnel est très aimable, chaleureux et à l'écoute.
Les plats sont bons et copieux, 
Nous avions de la place pour nous 6."
20,févr. 2024,"5,0","Comme d'habitude, l'accueil est agréable. La Formule Pro (filet poisson avec sa sauce au beurre) était excellente. Mon ami, à qui j'ai fait découvrir le lieu, était enchanté :)"
21,déc. 2023,"3,0","Personnel au service du client et tres efficace pour les groupes, coté cuisine ... très ordinaire. Ne pas s'attendre a des miracles"
22,févr. 2024,"5,0","Ambiance familiale
Le personnel est au petit soin pour vous.
Toujours une gentille parole. La nourriture est Maison et ça se ressent. 
On s’y sent comme à la  maison .
Nous reviendrons avec plaisir ♥️"
23,janv. 2024,"2,0","Pas d'affichage du menu ni des prix, salle bruyante , et dans la véranda assez fraiche.
J'ai choisi de la dorade avec risotto, assez bonne , les desserts sont très classiques .
Repas couteux pour une qualité bien moyenne"
24,janv. 2024,"5,0",Nous étions en famille (6 personnes) et nous avons été accueilli comme nulle part ailleurs. Les serveurs étaient au petit soin pour nous apporter des plats tous plus bons  les uns que les autres. Nous reviendrons avec grand plaisir !!!
25,janv. 2024,"5,0","C est un concept où l’on passe un excellent moment dans un superbe endroit avec d’excellents serveurs et une cuisine très efficace avec des prix qui complètement en adéquation avec le tout 
Merci à vous"
26,déc. 2023,"5,0","Le cadre est superbe et très agréable. Les serveurs sont sympathiques et le service est rapide et efficace. La cuisine est très bonne, le pain à burger est délicieux et le confit de bœuf un régal !
Je vous recommande vivement de venir découvrir ce restaurant "
27,déc. 2023,"5,0","Un cadre charmant doté d'un service en salle irréprochable et rapide . Les plats sont  excellents et généreux  avec des produits frais. 
Je recommande vivement cette table et j'y retournerai avec plaisir ..."
28,nov. 2023,"5,0","Accueil chaleureux et convivial. 
Plats très bien cuisinés avec une belle présentation. 
Service rapide
Je recommande"
29,nov. 2023,"4,0","Magnifique moment passé en famille. On a été accueillis avec une franche sympathie, et tout le monde a trouvé son bonheur. Service et cuisine de qualité. Le cadre est juste à découvrir !Bravo d’avoir pensé aux petits avec votre espace enfants…Merci."
30,nov. 2023,"5,0","Service bienveillant,personnel agréable, des  plats généreux et delicieux 
La formule pro est vraiment généreuse et goûteuse 
Produits frais , de saison....What else!"
31,oct. 2023,"5,0","Comme d’habitude très bon moment passe dans ce restaurent atypique. Nous avons encore une fois très bon mangé. Confit de bœuf et souris d’agneau au top, cuisson parfaite et accompagnement impeccable."
32,oct. 2023,"5,0","Entrée par une jolie court, très belle ambiance à l'intérieur, un accueil et un service impeccable, les plats étaient délicieux 👍 je recommande ce restaurant "
33,oct. 2023,"5,0","Endroit tranquille et agréable avec une cuisine goûteuse. La carte est petite mais les produits sont bien travaillés.
Un bon moment à un tarif très correct."
34,oct. 2023,"5,0",Nous avons beaucoup apprécié ; le plat du jour était excellent et innovant ; le reste de la carte a été très apprécié aussi; le service sympa souriant efficace ; vraiment bien et au final très bon rapport qualité prix 
35,oct. 2023,"5,0","Dans un Cadre original, le repas est  copieux, et le  personnel très agréable. Il y a une salle de jeux pour les enfants c'est super ! "
36,sept. 2023,"5,0","Agréablement surpris par ce restaurant dynamique disposant d'une salle au décor ""globe trotter"", d'une mezzanine et d'une cour pour les beaux jours !
Le personnel, jeune, dynamique et chaleureux s'est montré efficace
Carte plutôt réduite mais ce n'est pas plus mal. Les plats sont qualitatifs.
Très bonne expérience, nous reviendrons !"
37,sept. 2023,"5,0","Plats délicieux, belle présentation, produits de bonnes qualités avec un superbe accueil.
Personnel très attentionné et aux petits soins. Je recommande vivement."
38,août 2023,"5,0","Restaurant super sympa. 
Accueil chaleureux. 
Personnel au petits soins avec nous. Restaurant dépaysant et atypique ."
39,août 2023,"5,0","un réel coup de cœur pour ce restaurant où je compte bien y retourner plusieurs fois même ! le rapport qualité prix est imbattable , les plats sont copieux et de qualité (mention spécial aux bœuf confit avec purée de pomme de terre ) , le cadre est très cosy et reposant , pour finir en beauté le personnel est chaleureux , souriant et de très bon conseil si vous ne savez pas quel plat choisir . allez y les yeux fermés !"
40,août 2023,"4,0","Très bon restaurant, un menu du jour avec un bon rapport qualité prix (attention il faut réserver le matin pour avoir le menu au prix de 9,90€ pour plat dessert café.)
Pour manger vous pouvez trouver une terrasse couverte, et une salle de jeux pour enfant. "
41,août 2023,"4,0","Difficile de trouver un lieu atypique, surprenant et décalé à Lyon où les tarifs restent raisonnables et les plats proposés de qualité.
Et bien, Monplaisir Côté cour en fait partie !

- Sans rien spoiler, le lieu et sa déco très particulière feront leur effet !

- Concernant la cuisine, des salades, des burgers, de la viande, des Flams, etc ...
Rien de renversant mais les produits sont frais et réalisés très correctement.

- Le personnel est souriant et à l'écoute de la clientèle.

Sans nul doute, cet établissement mérite très largement le détour !"
42,août 2023,"5,0","Plats originaux, excellents et très copieux. Service ultra rapide tout en nous permettant de prendre notre temps. Joli décor. Serveur adorable et très efficace. Juste parfait "
43,août 2023,"5,0","Endroit parfait pour une soirée évasion. Personnel à l écoute et super sympa. Excellent repas et bon rapport qualité/ prix 
Une pépite 
J y retournerai "
44,août 2023,"4,0","On passe sous un porche pour accéder au côté cours. Un mardi vers 12h00. Le restaurant ouvre, il y a quelques personnes qui patientent. Sans réservation nous sommes installés dans une véranda, le cadre est agréable et chaleureux. La responsable nous dit qu'ils font 140 couverts le midi, ça doit dépoter. Effectivement, prise de commande rapide, boisson et plats qui arrivent aussi très rapidement. Tant mieux ce sont les plats du jour.  Trop rapidement? Cela laisse supposer que nous ne sommes pas sur de la cuisson à la demande...ok pour l'agneau ou le paleron confit mais la dorade cuisson sur peau semblait avoir un peu attendu le client. Bon, c'était bon malgré tout. Nous avons mangé en 38mn chrono. Pas mal pour ceux qui sont pressés.  Cadre sympa, cuisine correct, service rapide, reste que plats (du jour), dessert café et un verre de vin   nous sommes sur 76 euros à 2. Rapport qualité prix moyen."
45,juil. 2023,"4,0","Très bon repas dans ce restaurant que nous avons testé le weekend dernier avec des amis. Service agréable et rapide, voire un peu expéditif en fin de repas .. sinon tout était parfait! Merci :)"
46,juil. 2023,"4,0","Un lieu atypique, agréable, avec un personnel accueillant et sympa.
Un restaurant accessible en fauteuil roulant. Il suffit juste de les prévenir en réservant pour qu'ils adaptent la situation de la table. Il y a des salles accessibles avec une marche, donc préciser pour les éviter.
Repas excellent, pas excessif niveau prix et j'ai même eu droit à un petit rhum arrangé en partant.
J'y retournerai ! "
47,juil. 2023,"4,0","Cadre sympathique, simple, équipe souriante.
Adresse qui mérite le détour....👍
Venant du Mans pour découvrir ce restaurant sur recommandation.
Pas déçu..."
48,juin 2023,"5,0","L’équipe est agréable! 
Les plats sont délicieux.
Les prix accessibles.
Le décor magnifique ! 
Idéal pour un repas en amoureux, un dîner entre amis ou en famille!"
49,juin 2023,"3,0","Qualité des plats très moyenne notamment la gaufre végétarienne (plate, froide…) mais apparemment panne de gaz ce soir là. Service désinvolte et propos inapproprié. "
50,juin 2023,"5,0","Cadre exceptionnel dans une cour au milieu des arbres et des fleurs où il fait bon diner un soir d'été. La salle a également beaucoup de charme. Repas vraiment très bon notamment le filet de daurade royale et son elixir exotique à découvrir et à déguster. L'accueil est convivial et chaleureux. Le service est rapide et attentionné. Prix raisonnables.
Nous reviendrons. Je recommande vivement."
51,juin 2023,"4,0","Restaurant dans le 8 eme arrondissement près du Musée Lumières. Entrée discrète mais ine vrai découverte la hall d'entrée franchi. On découvre une grande salle style usine rénovée avec un éclairage fait de lampes livres ou paniers à poissons. Les tables de bois et chaises de styles differents. Une grande cour couverte aménagée en salle.
Carte comportant des plats faits de produits frais, servis chauds. Prix un peu élevés. Service efficace mais beaucoup trop rapide. L' aperitif pas encore bu que la plat chaud est servi. Il vaut mieux reserver surtout le dimanche. Nous avons opté pour les suggestions: dorade royale aux épices très bien préparée et une souris d'agneau classique sur un écrasé de pdt. Dessert tarte tatin recomposée. Addition, sans vin, à plus de 30 € par personne. Nous avons passé un bon moment peut être trop rapide. On notera le geste sympa du verre de rhum arrangé offert par la maison."
52,juin 2023,"5,0","Décors sympa, sourires chaleureux du serveur très dynamique, endroit spacieux et frais par ces temps de canocule. On est au petit soin pour vous et vos enfants  qui mangent avant vous et vont s'amuser dans la salle de jeux. Plats appétissants, la totale quoi ! Je recommande. "
53,juin 2023,"5,0","Accueil convivial donnant le sentiment d'être en famille, des explications partagées, un service ""aux petits oignons"" et bien sûr d'excellents mets proposés. Allez-y sans hésiter!"
54,mai 2023,"4,0","Une belle adresse de cuisine familiale, côté ""Lumière"" de Lyon.
Le cadre eys sympathique, dynamique et spacieux.
Le personnel dynamique, très aimable et rapide.
Plats de cuisine familiale.
Prix relativement corrects."
55,mai 2023,"5,0","Nous avons fait une réservation tardive un soir de semaine pour 8 personnes mais le restaurant a quand même pu nous accueillir. A l’intérieur, une ambiance très sympathique et un cadre agréable. Le repas était très bon et la serveuse nous a gentiment offert le digestif. Très bonne expérience"
56,mai 2023,"5,0","Nous n'avions pas réservé de table et le restaurant était pratiquement complet. Pourtant c'est avec grand plaisir que la serveuse nous a accueilli et redresser une jolie table sur la terrasse. Les plats ont été servi très vite et c'était excellent. Je recommande vivement ! 
"
57,avr. 2023,"5,0","
 un Très bon restaurant avec ! un Cadre original et très agréable!  de Très bons plats! à recommandé "
58,avr. 2023,"5,0","Un très bel endroit dans ce quartier populaire de Lyon. Nous nous sommes régalés avec des plats savoureux et originaux. Le service est rapide et soigné. N'hésitez pas à réserver, vous passerez un excellent moment !"
59,avr. 2023,"5,0","Serveurs  charmants et attentionnés, les plats sont excellents et originaux, nous avons beaucoup apprécié ce déjeuner dans une ambiance très sympatique. Nous reviendrons !"
60,mars 2023,"3,0","Service beaucoup trop rapide même si le personnel est très aimable.
 le repas enfant est très très basique 1 steak et quelques frites ( comme on ne nous a pas demandé la cuisson les steaks sont arrivés complètement cuits …dommage ) 
Le repas est correct mais rien d exceptionnel un peu léger le tartare …
La salle de « jeux » quasi aucun jeu de société et un écran qui n  est pas complètement possible de visionner car des portes bloquent la vision de l écran …dommage 
Donc bilan mitigé car même si le personnel est sympathique cela ne fait pas tout …"
61,mars 2023,"5,0","Ambiance très sympa et lieu super agréable. Le personnel est très souriant et sympathique, et la cuisine très bonne. Je recommande à 100%."
62,févr. 2023,"4,0","Une chouette ambiance, très bien décoré. La nourriture est bonne mais nous avons trouvé peut-être un tout-petit peu cher. Mais la gentillesse des serveur.veuses. le bon accueil nous a vite fait oublier cela et nous y sommes retournés ! "
63,févr. 2023,"5,0","PARFAIT
Accueil chaleureux, service parfait pour agrémenter des mets délicats et délicieux.
Le tout pour un tarif très correct compte de la prestation de qualité."
64,févr. 2023,"5,0","Soirée en famille. Cuisine bonne et généreuse, formule maline et accueillante, service attentionné et accueillant. Très bien !"
65,févr. 2023,"5,0","Restaurant bien décoré ; ambiance originale et chaleureuse avec personnel très disponible et à l’écoute. De plus nous nous sommes régalés et le service est rapide et efficace. Nous y retournerons très vite
Continuez ainsi
Gaby Fleurieu"
66,févr. 2023,"5,0","Nous nous sommes régalés. Service rapide et efficace 
Super ambiance. Le serveur Gaetan très souriant.
Nous avons passer un agréable moment. 
Nous reviendrons avec grand plaisir."
67,janv. 2023,"5,0",Nous y sommes allés pour dîner  l'accueil est souriant . Bonne humeur de rigueur . J'ai pris un délicieux suprême de poulet et un moelleux au chocolat. Tout était bon . Je recommande
68,déc. 2022,"2,0","Table réservée pour 6 personnes un mercredi midi. On nous installe dans une véranda non chauffée et après réflexion au serveur il court vers la climatisation réversible et nous annonce qu'il est très content car il avait soi-disant essayé de la mettre en route plusieurs fois et ça ne marchait pas et miraculeusement ça fonctionnait de nouveau ! Ensuite on ne nous apporte aucune carte nous laissant sous entendre que nous avions le choix entre viande ou poisson et 2 desserts différents et bien entendu aucune communication sur les tarifs. Résultat des courses pour 6 plats de viande/purée bien ordinaires et 6 desserts bien ordinaires également arrosés avec 1 pichet 1/2 plus 1/4 de côte du Rhône ordinaire la note s'est élevée à la modique somme de 189,60€. En conclusion seule la note n'était pas ordinaire et donc je déconseille fortement la fréquentation de cet établissement à toute personne qui apprécie d'être bien reçue et de payer le juste prix !!! Restaurant à éviter à tout prix !!!"
69,déc. 2022,"4,0",Endroit et decoration sympa. Personnel de bon conseil et de bonne humeur.  Bon repas et bonne ambiance. Tarif non excessif mais Fourchette moyenne haute. 
70,déc. 2022,"5,0","L’accueil est extrêmement chaleureux, personnel très dynamique à l’image du patron , une énergie positive qui se transmet d’emblée !!! 
Des plats surprenants et originaux, bravo pour l’équipe en cuisine ! En fin de repas , le patron nous a offert une coupe de champagne pour notre anniversaire (mariage)
Nous avons apprécié et y retournerons dès que nous repasserons à Lyon !!!!!
Je recommande vivement cette adresse !"
71,nov. 2022,"2,0","A peine arrivés nous avons dû commander sans même avoir pris le temps de consulter la carte. Les plats sont arrivés très vite mais froids… 
Nourriture très moyenne et note bien salée…
Très décevant"
72,nov. 2022,"5,0","Charmante découverte dans le quartier des lumières à Lyon
Repas délicieux servi très rapidement 
Deco chaleureuse et vraiment sympa
Idéal pour des groupes d’amis"
73,nov. 2022,"2,0","On m'avait recommander ce restaurant .... OUPS quelle déception
On a attendu et l'apéro arrive avec le plat principal !!!! mon tartare de saumon au secours pas très frais et pas mangeable, les frites étaient meilleures
En payant à côté de le cuisine, les cuistots allongés sur le passe travaillaient sans gant et jetaient les légumes dans les assiettes et on n'a pas tout vu
Bref, à ne pas recommander et vraiment décue"
74,nov. 2022,"1,0",La 1ere fois que je déjeune dans ce restaurant mais pas à la hauteur du tout. Attente terrible plus d’une heure  et le service pas professionnel alors le repas lol un poisson c’était une semelle  risotto du rie lambda portion enfant oh la la c’est une grosse blague. A fuir😬
75,oct. 2022,"1,0","Contextualisons cette très mauvaise expérience vécue par mes amis et moi dans ce restaurant. Mon amie avait réservé une table pour 12 personnes.

A notre arrivée, le serveur déjà assez désagréable nous impose de prendre la formule à 26,9€ sans autre choix possible, celle-ci étant ""obligatoire"" pour les grands groupes. De notre côté, nos préférerions voir la carte des menus. Il a fallu insister bec et ongles pour l'obtenir et faire face à la mauvaise foie de la gérante qui s'en est mêlée arguant que nous avions convenu de cette formule en amont, ce qui était complétement faux. Le personnel avait déjà trouvé la recette pour transformer une occasion joviale en un moment d'incompréhension et de mauvaise humeur. 

En parallèle, nous constatons que certains couverts sont sales car sans doute mal lavés. 

La suite n'est pas réjouissante. Le serveur dans son registre caractéristique de désobligeance, hurlait pour annoncer les plats, histoire de nous mettre dans de bonnes conditions pour manger leurs assiettes insipides. Que dire des desserts...  industriels, lourds, gras. 

Quand vient le paiement, le dernier d'entre nous se retrouve à devoir payer un menu supplémentaire, menu que nous n'avions pas commandé. Une note qui était déjà pourtant bien salée, au vu de la médiocrité des plats. En plus d'être désagréables, ce sont des escrocs.

J'ai découvert de nombreux restaurants à Lyon, avec un apriori que j'essaie de maintenir bienveillant, mais le Côté Cours et son personnel malhonnête et détestable me laissera sans doute le souvenir de l'un des pires établissements de la ville. 

Je leur conseille sincèrement d'arrêter ce métier."
