,Date,Notes,Commentaires
0,nov. 2024,"2,0","nous sommes venus un lundi avec mon conjoint et malheureusement plein de produits manquaient à la carte. 
nous aurions aimé être prévenus avant de faire notre choix..
en ce qui concerne le service, c’était très fragile voir même pas professionnel du tout. les serveuses parlent entre elles, ne se sentent pas concernées par leur métier et ça se ressent dans l’ambiance générale de la salle. 
cependant la cuisine est bonne mais basique et la présentation simple et efficace. 
rien à dire de + 
je ne recommande pas forcément ce restaurant, vous pouvez trouver mieux ailleurs au même prix."
1,nov. 2024,"3,0","Très bon accueil avec une belle planche à partager en attendant 19 heures comme nous a expliqué la serveuse pour pouvoir prétendre la suite d’un repas… Mais un groupe est arrivé, et nous avons été totalement oublié !
Donc finalement nous sommes allés régler notre note, en restant sur notre faim… Dommage."
2,oct. 2024,"4,0","Nous avions mangé un soir en famille lors d’une escapade a Lyon .
Tout d’abord je voudrais dire que les 2 jeunes serveuses étaient très sympathiques, souriantes et efficaces. 
Nous avions pris 2 tartares au saumon servi avec des frites ainsi qu’une crème brûlée en dessert. Nous nous sommes régalés ainsi que notre fils avec son menu enfant.
Le seul point négatif était la remarque de la propriétaire du restaurant lors que nous avions fait retourner nos bières qui étaient sans bulles. 
Sa remarque « c’est normal ça fait 20 min que les clients ont leurs bières » était déplacé."
3,oct. 2024,"2,0","Voici un restaurant dont j'avais gardé un bon souvenir d'il y a quelques années. Tenu par le groupe Blanc, c'était d'une bonne tenue. J'y suis donc retourné en confiance.  
Oh déception !
Le plat commandé : une bavette avec des frites. Simple, non ? Eh bien, la viande (demandée saignante) était bleue et avait une légère odeur pouvant faire douter de sa fraîcheur. Une béarnaise sans goût, apparemment très délayée. Des frites qui arrivent avec une couleur marron foncée. Je les ai refusé. Retour de frites qui ressemblaient aux précédentes, refusées également (et pourtant ce n'est pas mon habitude). Après un long moment et une réclamation de ma part, de nouvelles frites à peine plus claires et molles !
Le vin (moyen) était ce qu'il y avait de mieux.
Autant dire que nous avons été prendre le dessert ailleurs !!"
4,oct. 2024,"1,0","très, très mauvais, tartare avec viande noire e sans sauce, piece de viande sauce au poivre, oublié ! enfin bref je ne reviendrais pas."
5,oct. 2024,"1,0","A fuir ! Arrivés dimanche 20/10/24 à 13.00 h (réservation) nous avons 
attendu 1.45 h/2.00 h avant d’avoir nos plats froids servis n’importe comment dans des assiettes froides ! 
Déception supplémentaire concernant les desserts qui ne sont pas non plus à la hauteur ! 
Le personnel semble dépassé et le cuisinier balaye son sol devant les convives ! 
Habitués des restaurants lyonnais, nous sommes tombés de nos chaises !
A déconseiller vivement ! Odieux !"
6,sept. 2024,"2,0","Très grosse déception???  Nous sommes allés dans cet établissement un samedi i pour le déjeuner.
Nous commandons un apéritif (Champagne) et là le barman vient nous le servir avec un cure-dent dans la bouche.... Quelle classe pour un établissement soit-disant renommé...
Une personne commande la pièce du boucher qui est servie froide et qui a du être retournée en cuisine, les autres plats très fades , un service déplorable pas à la hauteur d'un tel établissement.
Nous avons eu l'impression que les serveurs (sans doute des étudiants) n'étaient pas du tout formés et semblaient tomber des nues à chacune de nos demandes..
Pour finir en beauté, lors des desserts, nous avons eu un café gourmand sans le café... cherchez l'erreur...
Nous devions sans cesse quémander car service minable, et n'avons jamais reçu d'excuses de la part des serveurs, qui ne se sentaient vraiment pas impliqués.
Bref, ce restaurant ne vaut pas vraiment pas le détour..."
7,juil. 2024,"3,0","Grosse déception par rapport à nos expériences antérieures, service déplorable, accompagnement des plats servis froids ou très longtemps après, serveur qui vous évite quand on veut l’interpeller… magret de qualité servi rosé comme demandé mais tiède avec une petite cuillère de sauce au fond de l’assiette… incapacité à servir 4 desserts en même temps…"
8,juin 2024,"2,0","Pas de chance, je commande un tataki de thon et une bavette charolaise échalotes….vous allez rire, le serveur me dit qu’il n’y a plus de Tataki et plus de bavette….c’était un samedi et nous sommes arrivés a 11h30…
Scandaleux pour un resto de ce standing .
Adieu donc les amis, les restos de qualité ne manquent pas a Lyon."
9,juin 2024,"2,0","PAS DE MENU SPECIAL POUR LA FETE DES PERES
SALADE LYONNAISE FROIDE...OEUF-LARDONS
PAIN ....PAS DU JOUR
1 HEURE D ATTENTE ENTRE ENTRE ET PLAT PRINCIPAL
AUCUNE NOTION DE SERVICE...
BOUTEILLE EAU TIEDE....ETC...ETC...
CONCLUSION / A FUIR DE TOUTE URGENCE"
