,Date,Notes,Commentaires
0,sept. 2024,"2,0","Très déçu. Les falafels étaient trop cuits, le houmous n’avait aucune saveur… ce n’est plus la cuisine que c’était… je ne reviendrai plus."
1,juil. 2024,"2,0","Le jardin est sympa mais négligé, la cuisine moyenne et SURTOUT, les suppléments ne sont mentionnés nulle part, on vous dit même que c'est compris dans le menu et on vous rajoute 1 € par cî, 2€ par là... Et vous allez chercher votre plateau  pas de service..., hygiène des tables douteuse."
2,déc. 2023,"1,0","Les tables ne sont jamais nettoyées, elles collent. Idem pour le sol, les chaussures collent au sol. Les clients sont totalement invisibles par le personnel pas sympa."
3,déc. 2023,"3,0","Accueil très décevant
Pas un mot... Commande aux bornes Une attente de plus de 30 mn plantés devant eux... Aucune nouvelle. Puis lorsqu'on demande où en est notre commande,   on nous répond qu'ils sont débordés... Sachant qu'ils sont sortis prendre l'air entre temps...
Le repas était bon, original et avec des produits frais.
Dernier détail : le sol collé aux pieds, les tables ne sont pas nettoyées, bof bof"
4,déc. 2021,"5,0","Nous avons été très bien servi par Luna Maeva Célia et Bilal, une bonne ambiance qui fait plaisir à voir !"
5,oct. 2021,"4,0",Falafels excellents ainsi que les sandwichs. Maintenant je m'y rend ou je commande à chaque passage à Lyon.
6,juil. 2021,"5,0","Super accueil, très chaleureux, commande préparée très rapidement sur place, réactivité au top, pitas très bonnes. Je recommande sans hésiter ! "
7,sept. 2020,"5,0","Excellent service, joie bonne humeur, politesse. Je recommande et je fréquente sans modération. Bon appétit"
8,août 2020,"1,0","Effectivement le jardin est super sympa, par contre la qualité sandwiches s'est nettement détérioré. Le pain a diminué d'un quart (dernière visite en mai) et il n'y avait plus que de la place pour 3 falafels dedans, un mini bout d'aubergines et 3 rondelles de carottes crues... Bref il vaut mieux aller boire un verre dans le jardin que d'y manger. L'équipe des 3 filles est plus sympa que celle des mecs."
9,août 2020,"4,0","Pas cher, rapide et bon : le trio parfait pour un déjeuner le midi.
On ajouter d'autres qualificatifs comme original, plein de saveurs, copieux...
Et pour profiter des beaux jours, un jardin bien sympa à l'arrière pour être au calme et au frais sous les arbres sans le bruit de la rue.
Bref, une belle découverte."
10,févr. 2020,"5,0","Excellent restaurant de falafels, service rapide, petit jardin derrière pour manger en extérieur l'été ! A recommander absolument !"
11,févr. 2020,"1,0","Je dois être invisible ,5 minute devant les employés , aucun a pris ma commande, aucune attention !!! "
12,nov. 2019,"4,0","Un fast food différent aux saveurs parfumées et dépaysantes.
Sur place ou à emporter. Dans du pain pita ou dans un bol.
C'est rapide, c'est bon et on y revient 
Compter 10-12€ le repas 

Le plus: un jardin à l'arrière"
13,oct. 2019,"1,0","Honteux. 
21h40 un samedi. On appelle « venez pas de soucis y’a personne » j’arrive 45. « Bah non c’est mort tout est éteins...
On me fait attendre 5 minutes. Je vois une affiche qui dit vente à emporter jusqu’à 21h55. On me dit que c’est mort, tout est fini... honteux. 
Ok "
14,oct. 2019,"5,0","C'est bon, c'est fais, c'est coloré, c'est rapidement servi, que demander de plus ? Peut-être une portion un peu plus généreuse?"
15,juil. 2019,"5,0","Quel plaisir de revenir y manger des pitas falafels, qui sont toujours aussi délicieuses au fil du temps! 
Les grands +: Les recettes y sont désormais de saison, et le personnel y est toujours sympa!"
16,avr. 2019,"5,0","Je suis tombée in love de ce fast food. L'equipe est juste ouf et la gérante est un vrai bijou. Les falafels sont juste à couper le souffle et le houmous maison🤪🤪🤪 un vrai kiff...
Et la salade était tellement bonne que je suis repartie avec ma box de falafels.
Merci pour ce voyage pleins de saveurs"
17,mai 2019,"4,0","Très bonne nourriture. Spécialement recommandé pour les plats à emporter, n’avez pas beaucoup d’espace pour vous asseoir mais la nourriture est très bonne."
